,date,team_1,team_2,win_1,win_2
201,2010-10-30,COL,VEN,False,True
202,2010-10-30,LAT,CRO,False,True
203,2010-10-30,JPN,SAM,False,True
204,2010-10-30,LTU,MLT,True,False
205,2010-10-30,AUS,NZL,True,False
206,2010-10-30,ISR,HUN,True,False
207,2010-10-31,BIH,AZE,True,False
208,2010-11-06,BUL,GRE,True,False
209,2010-11-06,ENG,NZL,False,True
210,2010-11-06,DEN,HUN,True,False
211,2010-11-06,BEL,CAN,False,True
212,2010-11-06,SWE,LTU,True,False
213,2010-11-06,JPN,RUS,True,False
214,2010-11-06,MLT,LAT,False,True
215,2010-11-06,WAL,AUS,False,True
216,2010-11-06,IRE,RSA,False,True
217,2010-11-06,AUT,NOR,True,False
218,2010-11-09,CON,SAM,True,False
219,2010-11-13,FRA,FIJ,True,False
220,2010-11-13,POL,MDA,False,True
221,2010-11-13,POR,USA,False,True
222,2010-11-13,ESP,CAN,False,True
223,2010-11-13,IRE,SAM,True,False
224,2010-11-13,SCO,NZL,False,True
225,2010-11-13,ENG,AUS,True,False
226,2010-11-13,ITA,ARG,False,True
227,2010-11-13,LUX,BUL,False,True
228,2010-11-13,CZE,BEL,False,True
229,2010-11-13,ARM,AND,True,False
230,2010-11-13,WAL,RSA,False,True
231,2010-11-17,COM,SAM,False,True
232,2010-11-19,ItA,TGA,False,True
233,2010-11-19,SCA,USA,True,False
234,2010-11-20,POR,NAM,True,False
235,2010-11-20,SCO,RSA,True,False
236,2010-11-20,ENG,SAM,True,False
237,2010-11-20,ITA,AUS,False,True
238,2010-11-20,GEO,CAN,True,False
239,2010-11-20,GER,POL,False,True
240,2010-11-20,GRE,CYP,False,True
241,2010-11-20,SRB,SUI,True,False
242,2010-11-20,FRA,ARG,True,False
243,2010-11-20,NED,CZE,False,True
244,2010-11-20,IRE,NZL,False,True
245,2010-11-24,RWA,BDI,True,False
246,2010-11-26,BDI,RWA,False,True
247,2010-11-26,FRB,TGA,False,True
248,2010-11-27,WAL,NZL,False,True
249,2010-11-27,ESP,NAM,True,False
250,2010-11-27,POR,CAN,False,True
251,2010-11-27,ROU,URU,True,False
252,2010-11-27,FRA,AUS,False,True
253,2010-11-27,ENG,RSA,False,True
254,2010-11-27,ITA,FIJ,True,False
255,2010-11-27,NED,GER,False,True
256,2010-11-27,GEO,USA,True,False
257,2010-11-27,SCO,SAM,True,False
258,2010-11-28,IRE,ARG,True,False
259,2010-12-04,BNS,RSA,True,False
260,2010-12-11,GER,HKG,True,False
261,2010-12-15,NOR,HKG,False,True
262,2011-02-04,WAL,ENG,False,True
263,2011-02-05,ESP,RUS,False,True
264,2011-02-05,GEO,UKR,True,False
265,2011-02-05,FRA,SCO,True,False
266,2011-02-05,POR,ROU,True,False
267,2011-02-05,ITA,IRE,False,True
268,2011-02-12,SCO,WAL,False,True
269,2011-02-12,ENG,ITA,True,False
270,2011-02-12,RUS,POR,False,True
271,2011-02-12,BEL,MDA,True,False
272,2011-02-12,GEO,ESP,True,False
273,2011-02-13,IRE,FRA,False,True
274,2011-02-19,AND,SRB,True,False
275,2011-02-26,ESP,UKR,True,False
276,2011-02-26,POR,GEO,False,True
277,2011-02-26,ENG,FRA,True,False
278,2011-02-26,ROU,RUS,True,False
279,2011-02-26,ITA,WAL,False,True
280,2011-02-27,SCO,IRE,False,True
281,2011-03-05,POR,EST,True,False
282,2011-03-12,GEO,ROU,True,False
283,2011-03-12,CYP,BUL,True,False
284,2011-03-12,UKR,RUS,False,True
285,2011-03-12,GER,CZE,False,True
286,2011-03-12,ESP,POR,True,False
287,2011-03-12,WAL,IRE,True,False
288,2011-03-12,POL,BEL,True,False
289,2011-03-12,ITA,FRA,True,False
290,2011-03-13,ENG,SCO,True,False
291,2011-03-19,SCO,ITA,True,False
292,2011-03-19,IRE,ENG,True,False
293,2011-03-19,POR,UKR,True,False
294,2011-03-19,ROU,ESP,True,False
295,2011-03-19,FRA,WAL,True,False
296,2011-03-19,SUI,AND,True,False
297,2011-03-19,MDA,CZE,True,False
298,2011-03-19,RUS,GEO,False,True
299,2011-03-19,FIJ,TGA,True,False
300,2011-03-19,BEL,GER,True,False
301,2011-03-22,FIJ,SAM,True,False
302,2011-03-26,TGA,SAM,True,False
303,2011-03-26,CYP,FIN,True,False
304,2011-04-02,MDA,GER,True,False
305,2011-04-02,GRE,LUX,True,False
306,2011-04-09,SWE,DEN,True,False
307,2011-04-09,ISR,AUT,True,False
308,2011-04-09,VIN,IVB,False,True
309,2011-04-16,BAR,LCA,True,False
310,2011-04-16,PHI,HKG,False,True
311,2011-04-16,CAY,JAM,True,False
312,2011-04-16,POL,NED,True,False
313,2011-04-23,KAZ,HKG,False,True
314,2011-04-23,NED,BEL,False,True
315,2011-04-29,UAE,KAZ,True,False
316,2011-04-30,LTU,LAT,True,False
317,2011-04-30,HKG,JPN,False,True
318,2011-04-30,MDA,NED,True,False
319,2011-04-30,MLT,CRO,True,False
320,2011-04-30,SLO,SUI,False,True
321,2011-04-30,BER,BAH,True,False
322,2011-04-30,IVB,BAR,False,True
323,2011-05-04,TPE,IRI,True,False
324,2011-05-04,IND,THA,False,True
325,2011-05-07,LUX,CYP,False,True
326,2011-05-07,CRO,LTU,False,True
327,2011-05-07,SWE,MLT,True,False
328,2011-05-07,KAZ,JPN,False,True
329,2011-05-07,TPE,THA,True,False
330,2011-05-07,SRI,HKG,False,True
331,2011-05-07,IRI,IND,True,False
332,2011-05-07,SRB,ARM,True,False
333,2011-05-07,DEN,ISR,True,False
334,2011-05-11,UZB,LIB,False,True
335,2011-05-11,JOR,QAT,False,True
336,2011-05-13,UAE,JPN,False,True
337,2011-05-13,UZB,JOR,False,True
338,2011-05-13,LIB,QAT,False,True
339,2011-05-14,URU,PAR,True,False
340,2011-05-14,CHI,BRA,True,False
341,2011-05-14,BUL,FIN,True,False
342,2011-05-14,AUT,DEN,True,False
343,2011-05-14,KAZ,SRI,True,False
344,2011-05-14,LAT,SWE,False,True
345,2011-05-14,NOR,ISR,False,True
346,2011-05-15,MEX,CAY,True,False
347,2011-05-17,CHI,PAR,True,False
348,2011-05-17,URU,BRA,True,False
349,2011-05-20,BRA,PAR,True,False
350,2011-05-20,URU,CHI,False,True
351,2011-05-21,HKG,UAE,True,False
352,2011-05-21,SRI,JPN,False,True
353,2011-05-21,BAR,TTO,False,True
354,2011-05-22,ARG,CHI,True,False
355,2011-05-25,ARG,URU,True,False
356,2011-05-28,TTO,GUY,False,True
357,2011-05-28,BAH,MEX,True,False
358,2011-05-28,ARM,SLO,True,False
359,2011-05-29,ENG,BNS,False,True
360,2011-06-01,SGP,MAS,True,False
361,2011-06-01,KOR,PHI,True,False
362,2011-06-04,KOR,SGP,True,False
363,2011-06-04,ItA,CAN,False,True
364,2011-06-04,WAL,BNS,False,True
365,2011-06-04,ENG,USA,True,False
366,2011-06-04,HUN,NOR,True,False
367,2011-06-04,ARG,FRB,True,False
368,2011-06-04,MAS,PHI,False,True
369,2011-06-05,MEX,BER,False,True
370,2011-06-08,TGA,USA,True,False
371,2011-06-08,RUS,CAN,False,True
372,2011-06-10,ROU,NAM,True,False
373,2011-06-10,ArJ,POR,False,True
374,2011-06-10,GEO,SAK,False,True
375,2011-06-11,ARG,FRB,False,True
376,2011-06-11,FIN,GRE,True,False
377,2011-06-11,GUY,BAR,True,False
378,2011-06-12,ItA,RUS,True,False
379,2011-06-12,UGA,ZIM,False,True
380,2011-06-12,ENG,TGA,True,False
381,2011-06-15,MAD,ZIM,False,True
382,2011-06-15,GEO,ArJ,True,False
383,2011-06-15,ROU,SAK,False,True
384,2011-06-15,POR,NAM,False,True
385,2011-06-18,ENG,CAN,True,False
386,2011-06-18,UGA,MAD,True,False
387,2011-06-18,USA,RUS,True,False
388,2011-06-18,TGA,ItA,False,True
389,2011-06-19,GEO,NAM,True,False
390,2011-06-19,ROU,ArJ,False,True
391,2011-06-19,POR,SAK,False,True
392,2011-06-21,SEN,BOT,True,False
393,2011-06-21,CMR,ZAM,True,False
394,2011-06-22,PAK,GUM,False,True
395,2011-06-22,CHN,INA,True,False
396,2011-06-22,GUY,BER,False,True
397,2011-06-25,GUM,CHN,False,True
398,2011-06-25,PAK,INA,False,True
399,2011-06-25,CMR,SEN,False,True
400,2011-06-25,ZIM,KEN,True,False
401,2011-06-25,ZAM,BOT,True,False
402,2011-07-02,ZIM,UGA,True,False
403,2011-07-02,TGA,FIJ,True,False
404,2011-07-02,JPN,SAM,False,True
405,2011-07-09,TGA,JPN,False,True
406,2011-07-09,SAM,FIJ,False,True
407,2011-07-09,KEN,UGA,True,False
408,2011-07-13,TGA,SAM,True,False
409,2011-07-13,JPN,FIJ,True,False
410,2011-07-16,CAM,LAO,False,True
411,2011-07-16,UGA,KEN,True,False
412,2011-07-17,AUS,SAM,False,True
413,2011-07-22,NZL,FIJ,True,False
414,2011-07-23,KEN,ZIM,False,True
415,2011-07-23,MLI,CHA,True,False
416,2011-07-23,AUS,RSA,True,False
417,2011-07-24,GHA,BEN,True,False
418,2011-07-24,BUR,TOG,True,False
419,2011-07-26,CHA,BEN,False,True
420,2011-07-27,NIG,BUR,True,False
421,2011-07-27,MLI,GHA,True,False
422,2011-07-29,MRI,NGR,True,False
423,2011-07-30,LAO,CAM,True,False
424,2011-07-30,TOG,CHA,False,True
425,2011-07-30,BUR,GHA,True,False
426,2011-07-30,NIG,MLI,False,True
427,2011-07-30,NZL,RSA,True,False
428,2011-08-06,NZL,AUS,True,False
429,2011-08-06,SCO,IRE,True,False
430,2011-08-06,ENG,WAL,True,False
431,2011-08-06,CAN,USA,True,False
432,2011-08-13,ITA,JPN,True,False
433,2011-08-13,USA,CAN,False,True
434,2011-08-13,FRA,IRE,True,False
435,2011-08-13,WAL,ENG,True,False
436,2011-08-13,FIJ,TGA,True,False
437,2011-08-13,RSA,AUS,False,True
438,2011-08-19,FIJ,TGA,False,True
439,2011-08-20,IRE,FRA,False,True
440,2011-08-20,UKR,ROU,False,True
441,2011-08-20,WAL,ARG,True,False
442,2011-08-20,RSA,NZL,True,False
443,2011-08-20,SCO,ITA,True,False
444,2011-08-21,PER,CRC,True,False
445,2011-08-21,COL,VEN,False,True
446,2011-08-21,JPN,USA,True,False
447,2011-08-24,VEN,CRC,True,False
448,2011-08-24,COL,PER,False,True
449,2011-08-27,AUS,NZL,True,False
450,2011-08-27,IRE,ENG,False,True
